transcript,summary
"Or can we use that? Uh, do we need separate, just trying to understand how the new new instance set up  It's being planned. ",Trying to understand how the new instance is being set up.
"Personas are going to go beyond just, uh, who's developing. ",This are going to beyond for developers.
Who's responsible for creating a campaign? Is it developers? Are you looking at developers to go and create a campaign? Okay. ,Developers are responsible to create a campaign.
"Yeah. So like setting to that point, even if it's, you know, so I think the civic, um, example in a controlled environment, you know, I think I have full confidence that we'll do that. Right. So, cause you're almost wiring it, the success I'll be useful too, is to augment that by stubbing out a couple of personas. Right. So one would be, you know, a developer that's basically is writing whole world too. So he's going to go to the marketplace or the dev portal or the API portal to reuse. Yep. Yep. Other interesting thing would be to look at it from a perspective of an operator console and saying, you know, Howard, someone that's managing deployments and operations.  Yeah. Yeah. That goes in line very closely with, uh, with what. ","I have full confidencethat we will do that, you are almost writing it, the successuseful too is to augmented that by stubbing out of a couple of personas. Developers basically writing whole world too, its going to marketplace or dev portal  or API portal to reuse. It would be look at it from perpective operator console and managing  deployments ad operations."
"The first, uh, for the first release for December and, and. ",First release will be in December
"That's fair. Um, so I think, I mean, I can, let me kind of walk you through, walk you through this flow and we can rip this apart. Completely.  Screw it back on was slow. Can we just go to the, yeah, yeah. So, so let's, let's just kinda start with, you know, the, the overall flow of how we're seeing this unfold. And let's start with, you know, the ads group, um, where, you know, the developer portal as a, as a developer, right. I want to be able to create an API. Um, that's going to be able to get member data in real time. And so now there's development that happens that gets pushed up to some repository like GitHub that might be hooked up into some, um, build server like bamboo. And what that can then do is provide, you know, a snapshot of that, that version of what that concrete implementation is of this API. That's being exposed, maybe through something like Apogee, um, where we now have a get member API, super, super simple, simple flow.  I know I'm going through a lot of the details here. Um, but imagine right, what the purpose of this API is, is based off of, you know, some, let's say a member ID, what his responsibility is for his, um, for turned back, you know, that member option. And this is where I started to slip in some of the things around the object model store. Um, but my sense is, again, from what we've been, how things have been unfolding is that here you have this catalog of data objects, and one of those would be a member and where that's version it's defined, it has metadata around it. And what we can do through this facade is be able to at least point to potentially get in real data, like from a production database, either getting de-identified data, um, or even synthetic data. Right. Um, so, so the purpose of kind of decoupling even, and, you know, what's happening from the, the API to the object store layer, um, which again, we might wanna, you might want to talk through, um, but very similar life cycle from an object of select, from any type of code where you would have a developer that would go in and update that object accordingly, it would be version appropriately through some get up and that level of automation like Bamberg.  Um, so that's kind of, you know, at the top level from a very simple component view of eight, uh, ads to being able to pull data in real time from some series of databases or data lakes, um, the bottom piece, right, that's highlighted in orange here is a little bit more of the details around what is it that, you know, a developer to be doing as well, um, by creating this appointment reminder, hello, this is the steps that would be outlined in the tutorial. Um, if you kind of go from left to right, what you see is you start with, uh, campaign. And as we mentioned in the slide before, you know, what is the goal of that campaign, maybe to increase engagement by X percent. And then what we can do is we can add these processes in the workflow to be able to build out, you know, how we can get trusted data, which can be exposed from, you know, getting that through ads by invoking this API that has a link now to the object model, um, and also enrich that data with other API APIs that aren't necessarily part of Anthem, but are external factors.  So example, let's say for this appointment reminder, maybe we want to be able to provide very personalized reminders based off of weather. So, Hey, don't forget your umbrella or your appointment at 3:00 PM. It's about, you know, there's 60% chance of running something as simple as that. So what we're doing is we're kind of constructing this, this, you know, data object on the fly for this member and we're generating on the next piece, you know, these cognitive insights, um, in this case it would be a notification and that notification then can then be gone to send the notification, um, which should be broad castable and omni-channel way. Um, now what I posted in this kind of middle thing as kind of hanging out by it, Anthony systems, isn't this hello world web portal. And what I'm thinking was just, I don't know if this could live in ads, the web map, um, or if it could even just be as, as simple, you know, just think of a simple UI, are you logged in with your member ID, it generates this notification that your program, um, this, this AI campaign, um, and what that enables you to do is render the notification and then just simply be able to provide people.  Did you, did you agree with that or disagree? Um, and which that case can then be called out, uh, to back to the feedback and measurements component, where we can collect feedback and measure the outcomes. Now, a really simple it's full flow I'm envisioning, right? If you think about this from even like a reinforced learning perspective, can we start to capture this feedback and start to analyze and say, I'm getting a whole bunch of negative responses. Are we able to start to go back, see how this campaign might be evolving over time, based off the feedback that we're getting, this is all kind of a step. So it could be thinking about through the, through this tutorial, um, to kind of prove out that end to end experience and give you that feedback learning. Um, and then one last piece is you'll see, kind of at the bottom of the sky simulators, which is really allowing you to even start to simulate these responses, um, without ever having to necessarily leave, you know, this cortex box, where would be able to achieve all of your thoughts, kind of in the, uh, the balance cortex P sex from a development perspective.  Um, so that's, that's, you know, a very brief overview on kind of how we're seeing maybe some of these components come together. And, uh, sir, we just started to outline kind of the dependencies, um, from, you know, what are some of the things that would be required from an ads perspective, an object model search perspective.","Let's just kind start with, the, the overall flow of how we're seeing this unfold and the ads group where the developer portal as a developer can able to create an API and push in Git-hub repository and build server like bamboo and create version of that API that should be a super simple flow. "
"Yeah, right. That's the whole point of starting with this. Right. And so that's when he started to see what other bits we have not considered, should be considered. Right. So. ",Lets see what other points should we consider.
"That's for as long as we can five and then  New use cases that are coming up is on V6, which is kind gender. ",New use cases are coming up on V6
"So I don't want to predict the future, but I also. ",I would prefer not to anticipate the future.
"Because in our experience number one does not end up having domain knowledge as much. And it's only when you combine one with them deep understanding. So number one was supposed to be more of a ecosystem And sores and everything else at a more fine grain building blocks level. Now you could take a mission template and have that as a building block in number one. Also, I think this is where our go design will help us quite a bit. When Argo starts creating an information architecture, they will be coming and presenting here. I think that's where we can start dialing because I don't think anyone. ","Number one which is more of a ecosystem that takes Legato,Accenture and open source"
"But what we're enabling is a new world of a lot of people to come and do work effectively. So for the next conversation, what we're going to do tomorrow is. ",We're enabling a new world of people where they come and do efficient work.
There we go. Wow. Anybody still there? ,Anybody there?
You can create a rule based algorithm. So that means maybe mapping. ,You create a rule based algorithm.
"Yeah, exactly. Uh, requested for a waiver of one or two months. Let's see what Head HR would decide. Until then I would be part of this.",Anuj has requested for a waiver of one or two months.
"The application is really fast and easy. Uh, the objective. ",Objective is to create application which is really fast and easy
"Yes. No, I haven't, but I've been, yeah. Yeah. Kathleen, I've been pulling that together. Yeah. That's the stuff, Melissa. I think you wanted the work list. Okay. ",Melissa wants the work list
Yeah like you also asked like told me that you would be organising KT for me. Like I also joined recently in this Project and I have a basic idea of this project,Avijit asked Himanshu to organise a KT for him.
"I want to just quickly talk through the, um, the details about this. ",I juz want a quick overview of details.
"All right. So why are we having many minute?  If you have coffee,  go ahead. Yeah. ",Get some coffee
"Hey niche, maybe harsh, uh, luxury. You can answer this question. The cluster that we are setting up for Cox  Scan, the EKS or OpenShift, is it in addition to what we have? ","Niche to tell about whether the cluster that is being set up for Cox  Scan, the EKS or OpenShift, is  in addition to what we have? "
Maybe we know that tomorrow. Yeah. . ,That may be known tomorrow.
"Once the summary given by Amit and Dhanuj is received by Hrisheek and Divesh. You guys look at the look at each sentences and see what kind of topics are present there and based on that, you will have to extract those major topics. So suppose, suppose in the first meeting we discussed about, uh, uh, I guess Bhanu asked the question that by handwritten mom is required. So then, Kajari explained and the entire thing. So with that, the topic extracted can be importance of mom, uh, importance of manual mom. So like that for every sentence or every paragraph that we are summarizing. First, we have to check whether there is an important topic or not. And if there is an important topic, what is the topic present there? And based on that, you will have to train the model. So as of now, obviously there is a lot of manual work as well, but then only we can train the model. So first look at the transcripts and come up with a strategy. So either you can use any NLP algorithm, or if you are feeling that an NLP algorithm will not work, then you can create a rule based. ","Check for important topics . And if there is an important topic, extract it. come up with a strategy either use any NLP algorithm or create a rule based. "
"I'm a work from a developer productivity work happens, water and a belief. I think we should pick two of them. ",We should pick two of them.
Because it's they built this graph. ,They built this graph.
One question I have on that last point is what is the word? ,What is the word?
"I think Connemara does an action item on me. So what I'll do is I think I have a meeting with John tomorrow. Um, we'll very quickly identify, you know, I'm trying to understand the whole skill set there. Um, maybe in the, a couple of days, ","Connemara has an action item on me, I'll have a meeting with John,quickly i can understanf the skill set in couple of days."
"Yeah, I agree. I mean, the whole point of it was let's let's rip it up and let's let's. ",The whole point into break into small tasks.
"Three of those, not many, which we are going to hit because we want to be successful in 42 days. And then what is going to, he had a broader acceptance across the developer pool, where we are going to make materially more impact. Those are the ones which we should go after. ",We are going to make materially more impact across the developer pool and we should go after it.
"That's bringing all together. You can find this engine and, and, and, and, and set the set the engine running. ",Find the engine and set it running.
"Yeah. And part of how I want to push us in the, uh, in the future, like in the very beginning, uh, this'll be a problem, but as we progress forward, we're going to put them all in the same pipeline and make them have the same shape and make sure that they become compatible, even if they don't start off with compatibility. So the question is, how much do we want to pay now to save, uh, to, to save on development in the future, which could be a considerable amount. So we'll make sure we do that as well. ","In very beginning we going to put them all in same pipeline and make same shape and make sure they become compatible. So the question is, how much do we want to pay now to save on development in the future, which could be a considerable amount. So we'll make sure we do that as well."
"Then we can run this as a very focused program, which does not come as on the critical path of the other two use cases and BI and stars. And that does not put pressure on you. Not that you don't have pressure already and you will not have pressure, but yeah. ","We can run this as a very focused program, which does not come as on the critical path of the other two use cases and BI and stars."
"Right. The way of doing the AI, replace them. ",AI makes life simple.
"Honestly, when you start looking at it from an operational perspective, somebody has to manage the orange box. Somebody has to manage the boombox that that has a, that is abs. And then somebody has to manage the service that, uh, that AEs ends up fronting and making sure that that stays online. And once you start getting into the operational side of the names, we need to start considering, uh, what are the SLS that we want ads to run, uh, to expose and, uh, the services behind it. Where are the SLS that they're going to build, uh, to, to tell whether or not they're where they're hitting their objectives or their, their requirements. And so there's, there's a whole group of users that we need to make sure that we tie in from the operational perspective as well too. Cause it's more than just a building. It's also about operationalizing it and making sure that this thing can horizontally scale in a way that, uh, that we can also manage. And so we didn't make sure that we, even if we. ","In operational perspective, someone has to manage orange box , blue box and manage the services and make surethat stays online, we want ads to runa nd expose the services behind it and hitting their objectives and requirements."
"Let me know bhanuj if you need, I'll just forward that invite, I already got a rough idea, but I think it's. ","If you need, I'll forward that invite."
"In fact, the cloud native Telekom, uh, actually, uh, I've I kickstarted, uh, significant efforts within that, that are, that are being consumed by, uh, groups such as, uh, AT&T bell Canada, uh, former belt, France, or France telecon with I'll call the orange. And I was also being taken up by vendors such as Cisco Ericsson and, and so on. So, um, so I do have a background in networking. If anyone has a deep interest in networking, I can go in detail with that stuff. Although I don't want to go too much into that right now. Um, but in short, they do have a shared, uh, a shared requirement, which is the capability to scale and the capability to get high throughput. So, which I believe we will eventually need as well.  Cool. So let me get started. So I wanted to start from the beginning and one of the problems I've had, uh, that I've been trying to identify is what exactly is work lesson? So what I did was I put together a mock mission hour, a straw man, and so, uh, simplifying and accelerating application ideation development and deployment of data, rich applications, which incorporate privacy preserving technologies. So this is a first draft. Um, I, and I can pass this around you in order and help me just to make sure we're all on the same page. And so the idea, the idea is that everything we do should, uh, should work with whatever mission we choose or whatever it is that we're trying to, we're trying to do. If we don't understand what we're trying to do, then we're gonna, we're not going to be able to convene and we're much more likely to fail.  And certainly not at the 42 days, uh, market, if we can, we can not even decide what it is we're even trying to do in the first place. So this is my, my mock version of that and how I framed my initial set of questions around this. Um, so in terms of goals, there's, there's three major components or three major themes that I was able to identify upfront. There may be others. If I, if there are other themes that need to be in play, um, let's make sure that we discuss those as well, because we're, we're still in the process of building this context. So the first one is the concept of a native integrated developer environment that facilitates the creation of the, uh, of, of the workloads that we wants to do. We want our developers to create, uh, for those of you who are familiar with Jupiter network, uh, Jupiter notebooks, these exemplify the approach, but it's not the only way to do it, but they are indicative of the type of approach we want to take.  If we want to take something very simple, developers can type into, they can run, they can test, they can get deployed into, into an environment. We are also looking at, uh, how do we integrate with a variety of data sets and how do they integrate between workloads? And so there's also an important integration aspect that we cannot ignore. The second part is a declarative data and execution pipeline of which we are relying heavily on cognitive scale for, and this needs to have the capability to integrate all these workloads together, to be able to build a graph that should, that has a build, uh, starting from source through the topology to a sink that allows us to, to build and manipulate these, uh, these pipelines. Um, and declarative means that we're not putting down the small details on the bottom, but instead we're outlining the very top structure that we want.  And we let the system orchestrate that, uh, that structure, um, sources and sinks may include databases, workloads, API APIs, but they're not limited to these or maybe other types of sources and sinks that we identify over time that we may have to support. The third major group is, is we have to consider an ontology and the reason we have to consider ontologies. So is that when we build the model up, we are expecting these variety of workloads to work in tandem with each other, to, to work with each other. If we ignore our deontology, then we are, we may end up with line compatibility, but not have model CA compatibility at the top there speaking different, different languages. And so, so we need to make sure that we carefully curate over time a, uh, an ontology or a set of ontologies in order to help maximize the chance that the law is integrated with each other, not a priority for this milestone. It is something we will have to focus on as we move forward. Yeah,  Yeah. So, Hey Patrick, this is Denielle so quick question. This is the goals from a vocal as end result and product perspective and yeah, so I think what we need to do. ","In the cloud native Telecom I have worked with AT&T bell canada, France Telecom and with vendors such as Cisco ,Ericsson and so on. I have a background on networking. To identify what exactly is work lesson, I put together a mock mission hour, a straw man. So as to simplify and accelerate application ideation development and deployment of data rich applications, which incorporate privacy preserving technologies. This is the first draft. There are three major components that I was able to identify. The first one is the concept of a native integrated developer environment that facilitates the creation of the workloads that we want our developers to create. We are also looking at how do we integrate with a variety of data sets and how do they integrate between workloads? The second component is a declarative data and execution pipeline of which we are relying heavily on cognitive scale for, and this needs to have the capability to integrate all these workloads together. The structure, sources and sinks may include databases, workloads, APIs, but they're not limited to these or maybe other types of sources and sinks that we identify over time that we may have to support. The third major component is we have to consider an ontology. So we need to make sure that we carefully curate over time an ontology or a set of ontologies in order to help maximize the chance that the law is integrated with each other."
You will be part of these meetings until you formally leave the company. ,Anuj will be part of these meetings until he formally leave the company
"Hello world. Um, yeah, let me go ahead. And  Do you have your slides? I have some stuff. ",Do you have your slides?
"I'd say as a followup to, to today's discussion, uh, we probably need to, uh, kind of break down, uh, the journey to Skywalker and re uh, while also, you know, kind of, there's some components that are fairly well-defined and a bit working, uh, independently for awhile, like ACS. And, uh,  been working on with, um, ADC, right? Anthem, you know, the developer tools and all the work that's happening there. Uh, the integration of all of these, um, I think it's still a work in process. I know we've had discussions with all pretty much every stream, but I don't think we've put a overall integration architecture view together that everyone's reviewed and is, uh, you know, sort of settled on to say that is how we're going to go work on this. So that's a to-do and, um, you know, I think, you know, Ted I'll let you offline, uh, define the steps that are going to be needed to, to go get that done.  But once we lay in that integration roadmap, you know, kind of a journey to Scott Walker and re inclusive of ACS, jive, hive, et cetera, uh, that the next series of jam sessions focused on work, who asks will it be really about, uh, take a topic, you know, circle through that, look at demos, get people can really, the participants here, uh, your role is to make sure that a, what we're building here is going to meet our needs, be if you're doing something, um, elsewhere that we're missing, uh, it's your responsibility to bring it to the script's attention and make sure that, you know, ultimately we don't end up with a tower of Babel here, right? That every, every piece of what we're building connects together and is cohesive and ultimately as owners and users in this, you've got to make sure that if you're something, your name onto work of us, that it reflects how you would do it, and that you're taking the time and the energy either through the jams or offline to get into the weeds and understand that well enough to, to shape the outcome, uh, because it's, it's such an important effort for us.  And it's foundational to everything that we're going to do as a company in the next three to five. ","As a follow up to todays discussion.We probably need to kind of break down the journey to Skywalker and there's some components that are fairly well-defined and a bit working, uh, independently for a while, like ACS. And been working on with ADC. the integration of all of these it's still a work in process. But once we lay in that integration roadmap, kind of a journey to Scott Walker and re inclusive of ACS, jive, hive, etc., that the next series of jam sessions focused on work. take a topic you know, circle through that, look at demos, get people who can really be the participants here, your role is to make sure that what we're building here is going to meet our needs."
"The feedback so that we can send it back to whatever we want to learn and optimize right. For the next thing go along. Um, so that's kind of how we envision as a set of steps here. ",Feedback can be send back to whatever we want to learn and optimize.
"But they will take an action on that and make sure we get the connection set up.  Yep. Fantastic. Yeah, there's been a few weeks off training and everything went off Roger's team. That's been, that's been great. ",They will make sure the connection is set up. There is a few weeks training and everything went off Roger's team.
"I would all start. I think looking at the whole supply chain, the other way to bring this up is the force is mostly around data prep, modern grab data. ","From whole supply chain view, the workforce is mostly around data prep, modern grab data. "
"Just one update I shared with you kind of all the tracks, but just to give you a high level sense, right? We are wherever that is a vendor RFI track, that is a track centered around designing MVPs for CSPB and GBD. Uh, that is also a heat mapping track. So getting the business case track up and running so that are, you know, ",In high level sense we are into vendor RFI track which is for designing MVPs for CSBD and GDB
Sure. All right. Cool. Then we're good. ,"Cool,we are good to go."
"Yeah, I think I totally agree. I think, I think that's it. Yeah. I think it's AI yeah.  Is embedded in everything like security is like, um, you know, everything else is so, but that doesn't make it a security development platform. Right. So what I'm saying is that it's a developer platform, which has all the aspects of a core development methodology, and part of it, and AI should not be that we should explicitly mention out there. It should be part and parcel of our fabric, how we develop things. So it's a, it's a developer platform, which basically encompasses every aspect of our development. ",AI is a developer platform which basically encompasses every aspect of our development.
"What of these things are really key for us, making sure that we start putting the building blocks together, which. ",Make sure that we start putting the building blocks together.
"This is for the model training. So, a little bit detail will be required.", This MOM is for model training.
"Gotcha. Okay. Alrighty. Anything else, folks that we haven't touched on otherwise, you know, obviously we don't want to keep everybody later than we need to. ","If there is nothing else to be discussed, we don't want to keep everybody later than now."
"We uploaded it in the teams. Yes.  Yeah. I have actually I'll check it again. I'll check it again if it's not I'll upload. So at 3:30 all three of us will be meeting, I mean, four of us, avijit, silpa, sravanthi and me and I guess Bhanu if you want to if you are ok with the project, you have understood, then it's ok. Otherwise, if you also want to join it to understand, then you can also join it.",We uploaded it in the teams.
"Sorry,  The inconvenience and we will do everything we can to find out what went wrong to get started. What claimed are you referring to. ","Sorry for the inconvenience, we will find out what went wrong to get started."
"You know what I'm going to, if you don't mind, I'm going to take over. ","If you don't mind, I'm going to take over."
" what you said was we also want to use this panel to spike a validating experience. Exactly. Has to be worked with our goal, right? What are the steps and the steps that we can learn to?  So that'd be get the, uh, the mission planner. ",The mission planner need to be discussed. 
"I think had a problem, as you said, I think will be a follow up. Maybe it would be good. So between you and I'll see you again, and, uh, uh Predeep and Steve, uh, the example you gave when it's not just a, for one data domain, actually, you know, the spirit is to require all the data domain speak together in between. So it's actually large data, big data, not small data. So the data strategy needs to be discussed for this to be effective, to solve some more complex problems, uh, for some easier problem, I guess we would be fine that wouldn't be AI data science track, right? That's one thing. The other thing I think, uh, a lot of that stuff need to be automated. It's really, shouldn't be a developer trying to manually figure out where to pull the data and stuff. The whole workflow around the developing the data science or AI piece to development to deployment really should be automated. So want to see, take a look at a, um, cock scale, a framework to see if that actually help, if not, we can fix. ",It is better to automate the whole pipeline right from development to deployment with the help of cog scale framework. 
"So, whatever is the discussion as much detailed as possible. Just write down the points. Okay.",Write the discussion points in details.
I don't have a business outcome right away the second year. ,I don't have a business outcome right away the second year. 
"Yeah, probably did in the microphone, these things use, uh, computers and a mouse. In fact, uh, the HTMI, uh, the use for lightening has an arm computer or, or displaying from an iPad to a screen. So these things are getting way more complex, but, um, yeah. ",These things are getting far more complex.
"Right. But what happens is other people can at least use this without having to call you up and say, ",Other people can use this without calling to you.
Which is already a good example. So. ,Good example.
"All right. Well, welcome everyone. This is our, um, uh, you know, one of the first, uh, jam sessions for the future of work program. And this one is, uh, every Tuesday, uh, here on out, uh, and specifically centered around. ",One of the first JAM sessions for the future of work program. It will happen every Tuesday
"That's going to perform some computation. So, so those are definitely two distinct. ",Some computations need to perfomed so they are two distincts.
"Right. Um, and just, just realistically speaking.  Yeah, that makes sense. Thank you. Appreciate it. ",Makes sense.
"Cortex and what it is that we do. So what I thought would be, you know, a good, a good demonstration is, you know, showcase our tooling and how we can together create this, you know, cognitive application. And we want to do this, you know, through a single channel in this case, imagine we want to create a very intelligent chat, right? What would that take? So what we have is a simple user interface, um, and I just want to post, you know, a very simple question. So imagine I'm a member to Anthem and I asked him, my claim was denied. I'm getting, I want to know why you didn't pay it. And I get back a very generic response, right? What claim for your furniture? And the reason that I'm getting this specific response is because on the back end system is currently hooked up. You know, there's no real understanding of the sentiment texts or any contextual information about myself.  So what I want to do is kind of show you kind of that backend system, that's sliding this interaction, which really gets into, you know, a little bit more on the detail. So our tooling aspect, and this is what we call our visual workbench, um, cortex studio. So think of cortex studio, where the role would be a low code developer, where I have all these assets and I want to start to almost glued them together, a great orchestrate and to compose a much richer experience. And what you see here is, you know, a single skill that I have on my campus, which is, uh, entitled conversation. This is a wrapper to some dialogue engine, think of this as an interface where I'm pointing to some concrete implementation. Uh, what we have right now deployed, it is four different implementations. One is pointed to Watson. One is pointing to Google, Amazon, Microsoft.  Um, I'm just going to point to the Watson's API, uh, but you can easily add your own implementations to this. And so in this tool, let's say, I want to enhance it with potentially, uh, understanding. So what I've done is I've gotten my canvas. I've clicked on add scale and I'm brought to this, uh, AI trusted health. This is a catalog of all of my assets where developers can start to contribute. And what I can do in this is I can find a specific scale, which is all around and I've added it to my canvas. And what I want to do now is use the tool to wire. These two skills together. What I'm going to have now is, um, tone and conversation, uh, working together. And I just saved what I call my agent or my application. And what I'm going to do now is go back to my chat bot and I'm going to ask the exact same questions. And so what it's doing now is just taking the tone and is providing that as contextual information to the conversation. And you can see based off of stitching these two skills together, I get now a slightly different response. It's taken the frustration, that's portrayed in my texts, and it's adding that as context to a conversation, giving me a different result. However, the end result is still kind of insane, but clam where your throat, so all of this is slightly better, right? Let's go back and add some more skills to really get to the heart.  So the next thing  I'd like to do is add document classification. So document classification, thinking, it says being able to take images, um, and start to, uh, process, you know, how you classify those, those specific images and even start to maybe extract out some of the activities. And again, just very quickly just grabbed that asset, brought it under a canvas, and I'm going to go back now and, um, just try a different multimodal experience instead of typing. We can Paul my claim was denied and I'm getting a huge bill. Why didn't you pay. ","What is cortex and what it is that we do in order to explain this so what I thought would be a good demonstration is, you know, showcase our tooling and how we can together create this cognitive application. So think of cortex studio, where the role would be a low code developer, where I have all these assets and I want to start to almost glued them together, a great orchestrate and to compose a much richer experience.Think of this as an interface where I'm pointing to some concrete implementation.We can glue the skills together in cortex studio to build a concrete implementation."
"Which will be replicative and duplicator of each other. Um, ",Replicative and duplicator of one another.
" Um, I was just gonna say, I know we've got, um, the need to complete the slides for the, um, QBR. So I didn't know if, uh, Raji, if you already had that yet. Yeah, for Gloria to give, uh, the QBR on Monday. ",Slides need to be completed and Gloria will give the presentation on Monday
"Yeah, you can put important points. ",Important points.
"Cool. So, um, the current objects in motion, uh, we are in the process of standing up a cognitive scale cluster. I've directed the team to first establish a cognitive scale cluster on EKS and Anthem AI. While that is in flight, we will simultaneously be setting one up in the Anthem, BBC, which will take a little longer. And so the first one will give us something we could start experimenting and understanding it today. Uh, once this is done, we have a stretch goal of getting open an OpenShift version there as well. So that way we're preparing for the future, uh, utilizing that, uh, that operations team. And we are also in the process of establishing a relationship with the cognitive scale SRE team. Uh, so the SRE team is the operational team at cognitive scale that manages their own clusters. And so they're putting us in contact with them so that they can help us set up those clusters as well.  Um, these, these are being done through Ben Michigan. So, uh, don't let me be a barrier to that. Instead, if you have something that's urgent, uh, Ben, Michigan is the right person to go to for, for something that's urgent. Um, and we are also setting up an initial connection with the red hat open shift team, because we want to make sure that we know who we're dealing with and what are the proper ways to get support to there. Once we start to do stuff with the open shift path is as well. Um, and that's in contact context with the OpenShift stuff going on above in terms of, uh, cloud native IDs. I've, I've heard, I've been personally serving a couple of forms of ideas just to, just to develop ideas. Uh, the ones I've looked at are equipped Che Jupiter, Jupiter hub. Um, I will need some recommendations on other things for, to, to investigate. And there's also a recommendation from the cognitive scale team to interact with a organization called Argo. So I'll be reaching out to Argo in the near future. The next. ","We are in the process of standing up a cognitive scale cluster. I've directed the team to first establish a cognitive scale cluster on EKS and Anthem AI. we will simultaneously be setting one up in the Anthem, BBC. once this is done, we have a stretch goal of opening an OpenShift version there as well. And we are also in the process of establishing a relationship with the cognitive scale SRE team who will help us in setting up of clusters. These are being done though Ben Michigan. For something urgent contact Ben Michigan. We are also setting up an initial connection with the red hat open shift team. Cognitive Scale team has recommended to interact with an organization called Argo, to whom I will be contacting in the near future."
"All have here today, we will focus specifically on work coerce and kind of really get you a sense of a Watson division as well as what's been laid out as a kind of. ",Focus on WorkOS and Watson today
"The contractual obligations, um, yeah. And the implementation and reporting and execution and such. And so the campaign is meant more to be a unifying, uh, idea, uh, that allows for the business people to talk to us and also to associate budget, uh, within change. Right. So, um, ","Campaign is more unifying,that allows for the bussiness people to talk us  and associate budget."
"As, as an agenda item that we can touch base on. Okay.  And it's not linked to hello, Kathleen. It's it's more, those two things have, have to have their own version of the hollow world. Uh, ",Jive and Hive should have their own version of hello world.
"Bobby's got the Rolodex. Now, of course, you're building these great things with dev ops and all this infrastructure. So. ",Bobbys's has rolodex because you are building this great things with dev ops and infrastructure.
"You can search for the talent that we need.  Yep. So we're actually starting. So we'll, we'll jump ahead a little bit, but so the talent piece, if you hold onto that Ridge out for just a second, we've actually already started engaging legato and onshore, uh, engineers, um, in this work here. So, um, niche, anything, any nits or naps that you need here? ",Search for the talent that we need. We have started engaging Legato and onshore engineers in this work here.
"So, so John, are you looking at two different personas doing one on the API and the one on the other side of the spectrum on the cortex, you would see another developer going and creating this orchestration for the hello world. He's at how the vision is. Like, if I go into it eight years and create an API, then I have to go into the cortex to kind of wrap the entire flow and call the member API as part of the cortex flow and plug it into the hub. ","You are looking for two personas doing one API and spectrum on the cortex, the vision is like , if I go into it eight years and create an API, thrn into the cortex to kind of wrap the entire flow and call the member API as part of the cortex flow and plug it into the hub. "
"I didn't even begin to think about building this new, this new architecture of work us. If we hadn't laid this amazing, super. ",I didn't even begin to think building this new architecture for work os.
"Well, I think in some ways the, in the background, but I think when Steve are already kind of working on, on platform emerges, right. And then I think we're good on it. It's a, it's a perfect use case for workOS. ",Steve currently working on different platforms and till now it's an ideal use case for workOS.
"You think it's feasible or Frederick feasible to write like a compatibility routine that, that makes sure that, you know, each of these components that are being separately developed does a, um, impedance check with, uh, with the other components. ",Make sure each of the components developed seperately and independence check with other components.
Yes. Yes. So this is kind of initial pipeline on how workOS is going to be work on top of ACS.,Introductory pipeline on how workOS will work on top of ACS.
"Be accessible at that discussion. Okay. And it was the other thing too. And I agree with just how you characterize it, which is AI to start, you know, including everyone eventually. Um, but I think also another important point should be AI in every application that we build, you know, it could be a small footprint of AI, but I really don't see where wouldn't need an AI to be a part of something. Right. It always, you know, every application could learn from its data, which has kind of. ",AI is part of every application that we build.
"Nice. Ok then guys, Thank you. Thank you so much for joining the call and, uh, with the other team members let's meet tomorrow and get the solid updates and let's meet at 3:30. ",Thank you for joining the call and let's meet tomorrow.
"So, so when Pradeep and I was talking today, right, for example, you know, scheduling has high business utility, um, and there's an API for it. The payment integrity has high business utility, but there's no, uh, you know, effigy interface, uh, for payment integrity. Right. And so, you know, right with that, just in terms of hitting dates, it's, you know, uh, razor says the simplest project is. ",Scheduling has high business utility there is an API for it but where as payment integrity has no effective interface.
"And that are building, uh, the, the profiles  For, uh, uh, uh, especially  We've looked for the X wing developer. Right? My expectation is we're gonna hire somebody and train them a couple of weeks. We're going to get, you know, three to six months of work out of them. And then like a gig worker they're going to go off and do some other jobs. And so we don't want to be investing a lot of effort in. ",Hiring and training somebody in two weeks so that not much effort is invested. 
"But, but let me think one thing, guys, I think there are two aspects to this whole development, right? One is basically making a delivery  Was life easy. ",I think making a delivery is one of the two aspects in this whole development.  
"Do it, I'll say with relative ease. ",Do it with ease.
Let's keep moving here just for time the ontology. Okay. Okay. ,Let's keep moving here.
